"TIME","GEO","UNIT","ISCEDF13","ISCED11","SEX","Value","Flag and Footnotes"
"2012","Bosnia and Herzegovina","Number","Total","Doctoral or equivalent level","Total",":",""
"2013","European Union - 27 countries (from 2020)","Number","Total","Bachelor's or equivalent level","Total","10,376,869",""
"2013","European Union - 27 countries (from 2020)","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2013","European Union - 27 countries (from 2020)","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2013","European Union - 27 countries (from 2020)","Number","Total","Master's or equivalent level","Total","5,079,304",""
"2013","European Union - 27 countries (from 2020)","Number","Total","Master's or equivalent level - academic","Total",":",""
"2013","European Union - 27 countries (from 2020)","Number","Total","Master's or equivalent level - professional","Total",":",""
"2013","European Union - 27 countries (from 2020)","Number","Total","Doctoral or equivalent level","Total","626,625",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Total","Bachelor's or equivalent level","Total","1,635,907",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Total","Bachelor's or equivalent level - academic","Total","1,458,383",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Total","Bachelor's or equivalent level - professional","Total","177,524",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Total","Master's or equivalent level","Total","930,366",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Total","Master's or equivalent level - academic","Total","930,366",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Total","Master's or equivalent level - professional","Total",":","z"
"2013","Germany (until 1990 former territory of the FRG)","Number","Total","Doctoral or equivalent level","Total","213,200",""
"2013","France","Number","Total","Bachelor's or equivalent level","Total","931,748",""
"2013","France","Number","Total","Bachelor's or equivalent level - academic","Total","663,979",""
"2013","France","Number","Total","Bachelor's or equivalent level - professional","Total","267,769",""
"2013","France","Number","Total","Master's or equivalent level","Total","831,956",""
"2013","France","Number","Total","Master's or equivalent level - academic","Total","209,304","d"
"2013","France","Number","Total","Master's or equivalent level - professional","Total","622,652",""
"2013","France","Number","Total","Doctoral or equivalent level","Total","69,535",""
"2013","Italy","Number","Total","Bachelor's or equivalent level","Total","1,108,260",""
"2013","Italy","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2013","Italy","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2013","Italy","Number","Total","Master's or equivalent level","Total","727,019",""
"2013","Italy","Number","Total","Master's or equivalent level - academic","Total",":",""
"2013","Italy","Number","Total","Master's or equivalent level - professional","Total",":",""
"2013","Italy","Number","Total","Doctoral or equivalent level","Total","34,928",""
"2013","Türkiye","Number","Total","Bachelor's or equivalent level","Total","3,052,671",""
"2013","Türkiye","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2013","Türkiye","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2013","Türkiye","Number","Total","Master's or equivalent level","Total","314,819",""
"2013","Türkiye","Number","Total","Master's or equivalent level - academic","Total",":",""
"2013","Türkiye","Number","Total","Master's or equivalent level - professional","Total",":",""
"2013","Türkiye","Number","Total","Doctoral or equivalent level","Total","80,494",""
"2013","Poland","Number","Total","Bachelor's or equivalent level","Total","1,266,471",""
"2013","Poland","Number","Total","Bachelor's or equivalent level - academic","Total",":","d"
"2013","Poland","Number","Total","Bachelor's or equivalent level - professional","Total",":","d"
"2013","Poland","Number","Total","Master's or equivalent level","Total","583,045",""
"2013","Poland","Number","Total","Master's or equivalent level - academic","Total",":","d"
"2013","Poland","Number","Total","Master's or equivalent level - professional","Total",":","d"
"2013","Poland","Number","Total","Doctoral or equivalent level","Total","42,295",""
"2013","Spain","Number","Total","Bachelor's or equivalent level","Total","1,085,012",""
"2013","Spain","Number","Total","Bachelor's or equivalent level - academic","Total",":","d"
